Time,Start,Average Score,Min Score,Max Score,Failure Count,Failures
-1 days +23:59:42.213600,slate,3.6574274577739283,1,8,13,"[('boxer', 8, ['slate', 'fever', 'cider', 'power', 'roger', 'joker', 'homer', 'boxer']), ('hilly', 7, ['slate', 'golly', 'dilly', 'billy', 'filly', 'willy', 'hilly']), ('homer', 7, ['slate', 'fever', 'cider', 'power', 'roger', 'joker', 'homer']), ('hound', 8, ['slate', 'crony', 'pound', 'bound', 'wound', 'found', 'mound', 'hound']), ('jaunt', 7, ['slate', 'taunt', 'haunt', 'gaunt', 'daunt', 'vaunt', 'jaunt']), ('match', 8, ['slate', 'taunt', 'patch', 'catch', 'hatch', 'batch', 'watch', 'match']), ('mound', 7, ['slate', 'crony', 'pound', 'bound', 'wound', 'found', 'mound']), ('night', 7, ['slate', 'touch', 'might', 'fight', 'right', 'wight', 'night']), ('shape', 7, ['slate', 'share', 'shade', 'shake', 'shave', 'shame', 'shape']), ('stash', 7, ['slate', 'start', 'stank', 'staid', 'staff', 'stamp', 'stash']), ('tatty', 7, ['slate', 'catty', 'fatty', 'patty', 'batty', 'ratty', 'tatty']), ('waste', 7, ['slate', 'baste', 'caste', 'haste', 'paste', 'taste', 'waste']), ('watch', 7, ['slate', 'taunt', 'patch', 'catch', 'hatch', 'batch', 'watch'])]"
-1 days +23:59:41.874193,least,3.67518406236466,1,8,13,"[('boxer', 8, ['least', 'crier', 'hover', 'power', 'joker', 'goner', 'foyer', 'boxer']), ('foyer', 7, ['least', 'crier', 'hover', 'power', 'joker', 'goner', 'foyer']), ('hatch', 8, ['least', 'tatty', 'patch', 'batch', 'catch', 'watch', 'match', 'hatch']), ('hound', 8, ['least', 'crony', 'pound', 'bound', 'wound', 'found', 'mound', 'hound']), ('jaunt', 7, ['least', 'taunt', 'haunt', 'gaunt', 'vaunt', 'daunt', 'jaunt']), ('match', 7, ['least', 'tatty', 'patch', 'batch', 'catch', 'watch', 'match']), ('mound', 7, ['least', 'crony', 'pound', 'bound', 'wound', 'found', 'mound']), ('night', 7, ['least', 'digit', 'fight', 'tight', 'right', 'might', 'night']), ('ratty', 7, ['least', 'tatty', 'patty', 'batty', 'catty', 'fatty', 'ratty']), ('shape', 7, ['least', 'share', 'shade', 'shake', 'shave', 'shame', 'shape']), ('taffy', 7, ['least', 'tatty', 'tangy', 'tardy', 'tabby', 'tacky', 'taffy']), ('waste', 7, ['least', 'baste', 'caste', 'haste', 'paste', 'taste', 'waste']), ('wight', 8, ['least', 'digit', 'fight', 'tight', 'right', 'might', 'night', 'wight'])]"
-1 days +23:59:42.027522,crate,3.6773495019488958,1,8,12,"[('goner', 7, ['crate', 'river', 'sower', 'poker', 'foyer', 'boxer', 'goner']), ('homer', 8, ['crate', 'river', 'sower', 'poker', 'foyer', 'boxer', 'goner', 'homer']), ('hound', 8, ['crate', 'sully', 'bound', 'found', 'pound', 'wound', 'mound', 'hound']), ('jaunt', 7, ['crate', 'taunt', 'vaunt', 'gaunt', 'daunt', 'haunt', 'jaunt']), ('jolly', 7, ['crate', 'sully', 'folly', 'dolly', 'holly', 'golly', 'jolly']), ('mange', 7, ['crate', 'mauve', 'maple', 'maize', 'masse', 'maybe', 'mange']), ('mound', 7, ['crate', 'sully', 'bound', 'found', 'pound', 'wound', 'mound']), ('queer', 7, ['crate', 'river', 'sower', 'elder', 'upper', 'buyer', 'queer']), ('saner', 7, ['crate', 'rarer', 'payer', 'wager', 'baker', 'safer', 'saner']), ('shape', 7, ['crate', 'shave', 'shade', 'shake', 'shame', 'shale', 'shape']), ('watch', 7, ['crate', 'batch', 'hatch', 'latch', 'match', 'patch', 'watch']), ('willy', 7, ['crate', 'sully', 'folly', 'dilly', 'hilly', 'billy', 'willy'])]"
-1 days +23:59:41.866986,trace,3.6847119965352966,1,8,14,"[('goner', 7, ['trace', 'river', 'sower', 'poker', 'foyer', 'boxer', 'goner']), ('homer', 8, ['trace', 'river', 'sower', 'poker', 'foyer', 'boxer', 'goner', 'homer']), ('hound', 8, ['trace', 'sully', 'bound', 'found', 'pound', 'wound', 'mound', 'hound']), ('jaunt', 7, ['trace', 'fatty', 'vaunt', 'haunt', 'gaunt', 'daunt', 'jaunt']), ('jolly', 7, ['trace', 'sully', 'folly', 'dolly', 'holly', 'golly', 'jolly']), ('mange', 7, ['trace', 'mauve', 'maple', 'maize', 'masse', 'maybe', 'mange']), ('might', 7, ['trace', 'sooty', 'light', 'fight', 'wight', 'night', 'might']), ('mound', 7, ['trace', 'sully', 'bound', 'found', 'pound', 'wound', 'mound']), ('patch', 7, ['trace', 'batch', 'catch', 'hatch', 'latch', 'match', 'patch']), ('queer', 7, ['trace', 'river', 'sower', 'elder', 'upper', 'buyer', 'queer']), ('saner', 7, ['trace', 'rarer', 'payer', 'wager', 'baker', 'safer', 'saner']), ('shape', 7, ['trace', 'shave', 'shade', 'shake', 'shame', 'shale', 'shape']), ('watch', 8, ['trace', 'batch', 'catch', 'hatch', 'latch', 'match', 'patch', 'watch']), ('willy', 7, ['trace', 'sully', 'folly', 'dilly', 'hilly', 'billy', 'willy'])]"
-1 days +23:59:41.696593,alter,3.6873105240363793,1,8,12,"[('daunt', 7, ['alter', 'taunt', 'gaunt', 'haunt', 'jaunt', 'vaunt', 'daunt']), ('found', 8, ['alter', 'sunny', 'bound', 'pound', 'mound', 'wound', 'hound', 'found']), ('goner', 7, ['alter', 'rover', 'power', 'sober', 'joker', 'foyer', 'goner']), ('homer', 8, ['alter', 'rover', 'power', 'sober', 'joker', 'foyer', 'goner', 'homer']), ('hound', 7, ['alter', 'sunny', 'bound', 'pound', 'mound', 'wound', 'hound']), ('jazzy', 7, ['alter', 'sandy', 'wacky', 'mammy', 'baggy', 'happy', 'jazzy']), ('jolly', 7, ['alter', 'sully', 'folly', 'dolly', 'holly', 'golly', 'jolly']), ('panel', 7, ['alter', 'label', 'gavel', 'camel', 'easel', 'hazel', 'panel']), ('paste', 7, ['alter', 'state', 'haste', 'baste', 'waste', 'caste', 'paste']), ('stamp', 7, ['alter', 'taunt', 'stash', 'staid', 'stack', 'staff', 'stamp']), ('watch', 7, ['alter', 'patch', 'batch', 'catch', 'match', 'hatch', 'watch']), ('willy', 7, ['alter', 'sully', 'folly', 'dilly', 'hilly', 'billy', 'willy'])]"
-1 days +23:59:41.360225,dealt,3.6916414032048506,1,9,13,"[('boxer', 8, ['dealt', 'sheer', 'cover', 'rower', 'poker', 'goner', 'foyer', 'boxer']), ('found', 9, ['dealt', 'wound', 'round', 'bound', 'hound', 'sound', 'pound', 'mound', 'found']), ('foyer', 7, ['dealt', 'sheer', 'cover', 'rower', 'poker', 'goner', 'foyer']), ('gazer', 7, ['dealt', 'saner', 'parer', 'wager', 'gayer', 'gamer', 'gazer']), ('hatch', 7, ['dealt', 'tatty', 'patch', 'batch', 'catch', 'watch', 'hatch']), ('jazzy', 7, ['dealt', 'marry', 'sassy', 'canny', 'gawky', 'happy', 'jazzy']), ('match', 8, ['dealt', 'tatty', 'patch', 'batch', 'catch', 'watch', 'hatch', 'match']), ('mound', 8, ['dealt', 'wound', 'round', 'bound', 'hound', 'sound', 'pound', 'mound']), ('night', 7, ['dealt', 'foist', 'tight', 'right', 'might', 'wight', 'night']), ('paste', 7, ['dealt', 'taste', 'haste', 'caste', 'baste', 'waste', 'paste']), ('pound', 7, ['dealt', 'wound', 'round', 'bound', 'hound', 'sound', 'pound']), ('ratty', 7, ['dealt', 'tatty', 'patty', 'batty', 'catty', 'fatty', 'ratty']), ('scout', 7, ['dealt', 'foist', 'shout', 'snout', 'spout', 'stout', 'scout'])]"
-1 days +23:59:41.290557,slant,3.6977046340407105,1,8,14,"[('boxer', 7, ['slant', 'crier', 'hover', 'power', 'joker', 'foyer', 'boxer']), ('fight', 7, ['slant', 'digit', 'eight', 'right', 'tight', 'might', 'fight']), ('jazzy', 7, ['slant', 'rarer', 'mammy', 'caddy', 'gawky', 'happy', 'jazzy']), ('jolly', 7, ['slant', 'belly', 'dolly', 'folly', 'golly', 'holly', 'jolly']), ('krill', 7, ['slant', 'belly', 'chill', 'grill', 'drill', 'frill', 'krill']), ('match', 8, ['slant', 'tatty', 'catch', 'patch', 'batch', 'hatch', 'watch', 'match']), ('mound', 7, ['slant', 'bring', 'pound', 'found', 'wound', 'hound', 'mound']), ('ratty', 7, ['slant', 'tatty', 'catty', 'patty', 'batty', 'fatty', 'ratty']), ('shake', 7, ['slant', 'share', 'shame', 'shade', 'shave', 'shape', 'shake']), ('stamp', 7, ['slant', 'state', 'stark', 'staid', 'stash', 'staff', 'stamp']), ('vaunt', 7, ['slant', 'taunt', 'daunt', 'gaunt', 'haunt', 'jaunt', 'vaunt']), ('waste', 7, ['slant', 'paste', 'haste', 'taste', 'baste', 'caste', 'waste']), ('watch', 7, ['slant', 'tatty', 'catch', 'patch', 'batch', 'hatch', 'watch']), ('wight', 8, ['slant', 'digit', 'eight', 'right', 'tight', 'might', 'fight', 'wight'])]"
-1 days +23:59:41.879602,stale,3.699003897791252,1,8,13,"[('boxer', 8, ['stale', 'fever', 'cider', 'power', 'roger', 'joker', 'homer', 'boxer']), ('homer', 7, ['stale', 'fever', 'cider', 'power', 'roger', 'joker', 'homer']), ('hound', 8, ['stale', 'crony', 'pound', 'bound', 'wound', 'found', 'mound', 'hound']), ('match', 8, ['stale', 'tatty', 'patch', 'batch', 'catch', 'hatch', 'watch', 'match']), ('mound', 7, ['stale', 'crony', 'pound', 'bound', 'wound', 'found', 'mound']), ('ratty', 7, ['stale', 'tatty', 'patty', 'catty', 'fatty', 'batty', 'ratty']), ('right', 7, ['stale', 'tooth', 'might', 'fight', 'wight', 'night', 'right']), ('shape', 7, ['stale', 'share', 'shade', 'shake', 'shave', 'shame', 'shape']), ('stash', 7, ['stale', 'stank', 'staid', 'start', 'staff', 'stamp', 'stash']), ('taffy', 7, ['stale', 'tatty', 'tangy', 'tardy', 'tabby', 'tacky', 'taffy']), ('vaunt', 7, ['stale', 'tatty', 'haunt', 'gaunt', 'daunt', 'jaunt', 'vaunt']), ('waste', 7, ['stale', 'baste', 'caste', 'haste', 'paste', 'taste', 'waste']), ('watch', 7, ['stale', 'tatty', 'patch', 'batch', 'catch', 'hatch', 'watch'])]"
-1 days +23:59:41.222687,close,3.70376786487657,1,8,8,"[('foyer', 7, ['close', 'mover', 'rower', 'poker', 'goner', 'boxer', 'foyer']), ('jaunt', 7, ['close', 'rainy', 'taunt', 'daunt', 'gaunt', 'haunt', 'jaunt']), ('jazzy', 7, ['close', 'rainy', 'tatty', 'bawdy', 'mammy', 'happy', 'jazzy']), ('maker', 7, ['close', 'deter', 'paper', 'gayer', 'waver', 'baker', 'maker']), ('rarer', 7, ['close', 'deter', 'paper', 'gayer', 'waver', 'baker', 'rarer']), ('shame', 7, ['close', 'spite', 'shave', 'share', 'shake', 'shade', 'shame']), ('vaunt', 8, ['close', 'rainy', 'taunt', 'daunt', 'gaunt', 'haunt', 'jaunt', 'vaunt']), ('wound', 7, ['close', 'moron', 'pound', 'bound', 'found', 'hound', 'wound'])]"
-1 days +23:59:41.343203,alert,3.70376786487657,1,8,19,"[('camel', 7, ['alert', 'ladle', 'gavel', 'panel', 'easel', 'hazel', 'camel']), ('erase', 7, ['alert', 'rarer', 'grave', 'brake', 'craze', 'drape', 'erase']), ('found', 8, ['alert', 'sunny', 'bound', 'pound', 'mound', 'wound', 'hound', 'found']), ('foyer', 8, ['alert', 'corer', 'power', 'hover', 'sober', 'joker', 'goner', 'foyer']), ('frame', 8, ['alert', 'rarer', 'grave', 'brake', 'craze', 'drape', 'erase', 'frame']), ('goner', 7, ['alert', 'corer', 'power', 'hover', 'sober', 'joker', 'goner']), ('grade', 7, ['alert', 'rarer', 'grave', 'grace', 'graze', 'grape', 'grade']), ('hound', 7, ['alert', 'sunny', 'bound', 'pound', 'mound', 'wound', 'hound']), ('jaunt', 7, ['alert', 'taunt', 'gaunt', 'haunt', 'vaunt', 'daunt', 'jaunt']), ('jazzy', 7, ['alert', 'sandy', 'wacky', 'mammy', 'baggy', 'happy', 'jazzy']), ('jolly', 7, ['alert', 'sully', 'folly', 'dolly', 'holly', 'golly', 'jolly']), ('maker', 7, ['alert', 'rarer', 'gayer', 'wafer', 'paper', 'baker', 'maker']), ('match', 8, ['alert', 'tatty', 'patch', 'batch', 'catch', 'hatch', 'watch', 'match']), ('night', 7, ['alert', 'sight', 'might', 'tight', 'fight', 'wight', 'night']), ('saner', 7, ['alert', 'rarer', 'gayer', 'wafer', 'paper', 'baker', 'saner']), ('stamp', 7, ['alert', 'tatty', 'stank', 'staid', 'stash', 'staff', 'stamp']), ('waste', 7, ['alert', 'taste', 'haste', 'baste', 'paste', 'caste', 'waste']), ('watch', 7, ['alert', 'tatty', 'patch', 'batch', 'catch', 'hatch', 'watch']), ('willy', 7, ['alert', 'sully', 'folly', 'dilly', 'hilly', 'billy', 'willy'])]"
